"","B.antarcticus","B.elongata","B.macropinna","C.gunnari","C.microdon","C.piriei","D.eleginoides","D.mawsoni","E.antarctica","E.carlsbergi","G.braueri","G.fraseri","G.nicholsi","K.anderssoni","M.gracilis","N.achirus","N.coatsi","P.antarcticum","P.bolini","P.gracilis"
"B.antarcticus",0.2,0.625,0.21,0.175,0.716981132075472,0.825,0.95,0.55,0.1875,0.125,0.675,0.0625,0.175,0.25,0.86575,0.4675,0.5,0.182,0.1,0.703
"B.elongata",0.625,0.2,0.113333333333333,0.0666666666666667,0.490196078431373,0.757575757575758,0.657894736842105,0.566666666666667,0.0833333333333333,0,0.733333333333333,0,0.0666666666666667,0.166666666666667,0.721917412647993,0.522648083623693,0.5,0.076,0.0943396226415094,0.889046941678521
"B.macropinna",0.21,0.113333333333333,0.2,0.833333333333333,0.120754716981132,0.0894736842105263,0.205194805194805,0.381818181818182,0.892857142857143,0.595238095238095,0.311111111111111,0.297619047619048,0.833333333333333,0.84,0.190977027401052,0.355,0.42,0.866666666666667,0.476190476190476,0.217333333333333
"C.gunnari",0.175,0.0666666666666667,0.833333333333333,0.2,0.0943396226415094,0.0526315789473684,0.168831168831169,0.318181818181818,0.933333333333333,0.714285714285714,0.259259259259259,0.357142857142857,1,0.7,0.152228065319679,0.285,0.35,0.961538461538462,0.466666666666667,0.170666666666667
"C.microdon",0.716981132075472,0.490196078431373,0.120754716981132,0.0943396226415094,0.2,0.647058823529412,0.695238095238095,0.377358490566038,0.10377358490566,0.0566037735849057,0.471698113207547,0.00943396226415094,0.0943396226415094,0.150943396226415,0.662718446601942,0.34816247582205,0.339622641509434,0.099622641509434,0.0784313725490196,0.54773082942097
"C.piriei",0.825,0.757575757575758,0.0894736842105263,0.0526315789473684,0.647058823529412,0.2,0.868421052631579,0.447368421052632,0.0657894736842105,0,0.578947368421053,0,0.0526315789473684,0.131578947368421,0.852876712328767,0.408719346049046,0.394736842105263,0.06,0.072463768115942,0.692137320044297
"D.eleginoides",0.95,0.657894736842105,0.205194805194805,0.168831168831169,0.695238095238095,0.868421052631579,0.2,0.558441558441558,0.181818181818182,0.116883116883117,0.688311688311688,0.051948051948052,0.168831168831169,0.246753246753247,0.911315789473684,0.492105263157895,0.506493506493506,0.176103896103896,0.105263157894737,0.74
"D.mawsoni",0.55,0.566666666666667,0.381818181818182,0.318181818181818,0.377358490566038,0.447368421052632,0.558441558441558,0.2,0.340909090909091,0.227272727272727,0.814814814814815,0.113636363636364,0.318181818181818,0.454545454545455,0.567395516191531,0.85,0.909090909090909,0.330909090909091,0.181818181818182,0.670666666666667
"E.antarctica",0.1875,0.0833333333333333,0.892857142857143,0.933333333333333,0.10377358490566,0.0657894736842105,0.181818181818182,0.340909090909091,0.2,0.666666666666667,0.277777777777778,0.333333333333333,0.933333333333333,0.75,0.166066980348741,0.31,0.375,0.970666666666667,0.533333333333333,0.187333333333333
"E.carlsbergi",0.125,0,0.595238095238095,0.714285714285714,0.0566037735849057,0,0.116883116883117,0.227272727272727,0.666666666666667,0.2,0.185185185185185,0.5,0.714285714285714,0.5,0.0968724052034321,0.185,0.25,0.686813186813187,0.2,0.104
"G.braueri",0.675,0.733333333333333,0.311111111111111,0.259259259259259,0.471698113207547,0.578947368421053,0.688311688311688,0.814814814814815,0.277777777777778,0.185185185185185,0.2,0.0925925925925926,0.259259259259259,0.37037037037037,0.705784666482148,0.692592592592593,0.740740740740741,0.26962962962963,0.148148148148148,0.837333333333333
"G.fraseri",0.0625,0,0.297619047619048,0.357142857142857,0.00943396226415094,0,0.051948051948052,0.113636363636364,0.333333333333333,0.5,0.0925925925925926,0.2,0.357142857142857,0.25,0.0276778300581234,0.06,0.125,0.343406593406593,0,0.0206666666666667
"G.nicholsi",0.175,0.0666666666666667,0.833333333333333,1,0.0943396226415094,0.0526315789473684,0.168831168831169,0.318181818181818,0.933333333333333,0.714285714285714,0.259259259259259,0.357142857142857,0.2,0.7,0.152228065319679,0.285,0.35,0.961538461538462,0.466666666666667,0.170666666666667
"K.anderssoni",0.25,0.166666666666667,0.84,0.7,0.150943396226415,0.131578947368421,0.246753246753247,0.454545454545455,0.75,0.5,0.37037037037037,0.25,0.7,0.2,0.235261555494049,0.435,0.5,0.728,0.4,0.270666666666667
"M.gracilis",0.86575,0.721917412647993,0.190977027401052,0.152228065319679,0.662718446601942,0.852876712328767,0.911315789473684,0.567395516191531,0.166066980348741,0.0968724052034321,0.705784666482148,0.0276778300581234,0.152228065319679,0.235261555494049,0.2,0.531151306345105,0.512039856075284,0.159977857735953,0.115506786023679,0.812012705746463
"N.achirus",0.4675,0.522648083623693,0.355,0.285,0.34816247582205,0.408719346049046,0.492105263157895,0.85,0.31,0.185,0.692592592592593,0.06,0.285,0.435,0.531151306345105,0.2,0.935,0.299,0.213903743315508,0.631358885017422
"N.coatsi",0.5,0.5,0.42,0.35,0.339622641509434,0.394736842105263,0.506493506493506,0.909090909090909,0.375,0.25,0.740740740740741,0.125,0.35,0.5,0.512039856075284,0.935,0.2,0.364,0.2,0.604
"P.antarcticum",0.182,0.076,0.866666666666667,0.961538461538462,0.099622641509434,0.06,0.176103896103896,0.330909090909091,0.970666666666667,0.686813186813187,0.26962962962963,0.343406593406593,0.961538461538462,0.728,0.159977857735953,0.299,0.364,0.2,0.504,0.18
"P.bolini",0.1,0.0943396226415094,0.476190476190476,0.466666666666667,0.0784313725490196,0.072463768115942,0.105263157894737,0.181818181818182,0.533333333333333,0.2,0.148148148148148,0,0.466666666666667,0.4,0.115506786023679,0.213903743315508,0.2,0.504,0.2,0.142247510668563
"P.gracilis",0.703,0.889046941678521,0.217333333333333,0.170666666666667,0.54773082942097,0.692137320044297,0.74,0.670666666666667,0.187333333333333,0.104,0.837333333333333,0.0206666666666667,0.170666666666667,0.270666666666667,0.812012705746463,0.631358885017422,0.604,0.18,0.142247510668563,0.2
