group,simple_group
Adelie Penguin,small divers
Antarctic Fur Seals,medium divers
blue whale,baleen whales
Crabeater Seals,medium divers
Crested Penguin,small divers
Dolphins,medium divers
Elephant Seals,large divers
Emperor Penguin,medium divers
fin whale,baleen whales
flying birds - coastal,flying birds
Flying birds - large,flying birds
Flying birds - med,flying birds
Flying birds - small,flying birds
Gentoo Penguin,small divers
humpback whale,baleen whales
King Penguin,medium divers
Leopard Seals,apex predators
minke whale,baleen whales
Orca,apex predators
Ross Seals,medium divers
sei whale,baleen whales
Southern Right Whales,baleen whales
Sperm Whales,large divers
Weddell Seals,medium divers
Ziphiids,medium divers